id,kana,emoji_code
1,あ,_a
2,ば,_ba
3,べ,_be
4,び,_bi
5,ぼ,_bo
6,ぶ,_bu
7,だ,_da
8,で,_de
9,ぢ,_di
10,ど,_do
11,づ,_du
12,え,_e
13,ふ,_fu
14,が,_ga
15,げ,_ge
16,ぎ,_gi
17,ご,_go
18,ぐ,_gu
19,は,_ha
20,へ,_he
21,ひ,_hi
22,ほ,_ho
23,い,_i
24,か,_ka
25,け,_ke
26,き,_ki
27,（,_kkb
28,）,_kka
29,こ,_ko
30,く,_ku
31,ぁ,_la
32,ぇ,_le
33,ぃ,_li
34,ぉ,_lo
35,っ,_ltsu
36,ぅ,_lu
37,ゃ,_lya
38,ょ,_lyo
39,ゅ,_lyu
40,ま,_ma
41,。,_maru
42,め,_me
43,み,_mi
44,も,_mo
45,む,_mu
46,ん,_n
47,な,_na
48,ね,_ne
49,に,_ni
50,の,_no
51,ぬ,_nu
52,お,_o
53,ぱ,_pa
54,ぺ,_pe
55,ぴ,_pi
56,ぽ,_po
57,ぷ,_pu
58,ら,_ra
59,れ,_re
60,り,_ri
61,ろ,_ro
62,る,_ru
63,さ,_sa
64,せ,_se
65,し,_shi
66,そ,_so
67,す,_su
68,た,_ta
69,て,_te
70,、,_ten
71,ち,_ti
72,と,_to
73,つ,_tsu
74,う,_u
75,わ,_wa
76,を,_wo
77,や,_ya
78,よ,_yo
79,ゆ,_yu
80,ざ,_za
81,ぜ,_ze
82,じ,_zi
83,ぞ,_zo
84,ず,_zu
85,〜,_wave
86,ー,_prolong
87,？,_question_mark
88,！,_exclamation_mark
89,!?,_interrobang_mark
90,ゔ,_vu
